R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
122.578166,126.1997752,129.6599303
124.014261,132.9498625,134.9553543
135.8901617,123.8288972,133.9992587
154.77152,153.8742868,145.6075709
110.4937789,106.6170019,106.7269332
107.8977507,110.6815784,110.9659671
123.2669358,130.786537,133.8526564
128.4627809,124.436005,119.5982492
101.0069017,103.6294835,105.542287
129.9452806,133.3974195,130.4062925
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.8245524,129.6204794,120.3559906
85.92617258,93.25894644,105.1008823
121.0532206,127.2578652,99.87309427
113.3736356,139.1648475,142.0298351
113.3827972,114.8763624,117.7714857
132.4450192,138.8638546,140.289329
122.5290853,143.0717092,161.3580613
156.7304884,162.0239001,161.3160126
134.2919546,125.3450397,138.1998388
140.8394301,106.0572062,90.73877493
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.8245524,129.6204794,120.3559906
85.92617258,93.25894644,105.1008823
121.0532206,127.2578652,99.87309427
113.3736356,139.1648475,142.0298351
113.3827972,114.8763624,117.7714857
132.4450192,138.8638546,140.289329
122.5290853,143.0717092,161.3580613
156.7304884,162.0239001,161.3160126
134.2919546,125.3450397,138.1998388
140.8394301,106.0572062,90.73877493
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.8245524,129.6204794,120.3559906
85.92617258,93.25894644,105.1008823
121.0532206,127.2578652,99.87309427
113.3736356,139.1648475,142.0298351
113.3827972,114.8763624,117.7714857
