R,G,B,Lat,Lon,cluster
108,118,112,1.345290176,103.6806667,7
149,141,127,1.345290176,103.6806667,8
112,106,93,1.345290176,103.6806667,3
166,169,153,1.345290176,103.6806667,6
102,94,57,1.345290176,103.6806667,1
115,106,91,1.345290176,103.6806667,3
143,111,114,1.345290176,103.6946668,8
143,148,143,1.345290176,103.6946668,6
131,133,125,1.345290176,103.6946668,8
117,107,106,1.345290176,103.7086668,3
91,121,136,1.345290176,103.7086668,7
107,91,95,1.345290176,103.7086668,3
112,125,81,1.345290176,103.7086668,3
102,106,105,1.345290176,103.7086668,3
114,118,95,1.345290176,103.7086668,3
118,124,133,1.345290176,103.7086668,7
73,77,71,1.345290176,103.7086668,1
176,177,176,1.345290176,103.7086668,5
138,142,146,1.345290176,103.7086668,2
118,116,94,1.345290176,103.7086668,3
118,136,123,1.345290176,103.7226668,7
134,148,130,1.345290176,103.7226668,8
87,110,119,1.345290176,103.7226668,7
110,130,127,1.345290176,103.7226668,7
116,123,122,1.345290176,103.7226668,7
113,134,115,1.345290176,103.7226668,7
109,114,103,1.345290176,103.7226668,3
94,127,136,1.345290176,103.7226668,7
89,98,91,1.345290176,103.7226668,3
95,124,116,1.345290176,103.7226668,7
140,139,132,1.34933163,103.6876668,8
124,132,99,1.34933163,103.6876668,7
113,116,116,1.34933163,103.6876668,7
107,122,107,1.34933163,103.6876668,7
108,118,112,1.34933163,103.6876668,7
149,141,127,1.34933163,103.6876668,8
112,106,93,1.34933163,103.6876668,3
166,169,153,1.34933163,103.6876668,6
102,94,57,1.34933163,103.6876668,1
115,106,91,1.34933163,103.6876668,3
108,109,95,1.34933163,103.7156668,3
159,139,111,1.34933163,103.7156668,4
115,114,109,1.3526,103.8352,7
125,137,126,1.3526,103.8352,8
100,104,94,1.3526,103.8352,3
116,124,86,1.3526,103.8352,3
106,100,84,1.3526,103.8352,3
92,102,67,1.3526,103.8352,1
123,124,116,1.3526,103.8352,7
145,157,172,1.3526,103.8352,2
210,199,187,1.3526,103.8352,5
121,120,115,1.3526,103.8352,7
91,96,132,1.3526,103.8352,7
106,115,117,1.3526,103.8352,7
128,138,109,1.3526,103.8352,8
131,134,109,1.3526,103.8352,8
139,146,146,1.3526,103.8352,2
140,139,132,1.353373084,103.6806667,8
124,132,99,1.353373084,103.6806667,7
113,116,116,1.353373084,103.6806667,7
107,122,107,1.353373084,103.6806667,7
108,118,112,1.353373084,103.6806667,7
149,141,127,1.353373084,103.6806667,8
112,106,93,1.353373084,103.6806667,3
166,169,153,1.353373084,103.6806667,6
102,94,57,1.353373084,103.6806667,1
115,106,91,1.353373084,103.6806667,3
124,132,99,1.353373084,103.6946668,7
125,126,122,1.353373084,103.6946668,7
111,121,77,1.353373084,103.6946668,3
125,122,117,1.353373084,103.6946668,7
99,102,56,1.353373084,103.6946668,1
115,92,47,1.353373084,103.6946668,1
96,91,87,1.353373084,103.6946668,3
118,138,87,1.353373084,103.6946668,3
142,118,125,1.353373084,103.6946668,8
139,178,80,1.353373084,103.6946668,4
87,94,67,1.353373084,103.6946668,1
105,111,88,1.353373084,103.6946668,3
133,134,129,1.353373084,103.6946668,8
110,113,106,1.353373084,103.6946668,3
96,83,47,1.353373084,103.6946668,1
111,114,96,1.353373084,103.6946668,3
105,106,90,1.353373084,103.6946668,3
77,78,58,1.353373084,103.6946668,1
126,131,118,1.353373084,103.6946668,8
159,162,149,1.353373084,103.6946668,6
123,131,78,1.357414538,103.6876668,3
151,136,126,1.357414538,103.6876668,8
104,112,82,1.357414538,103.6876668,3
117,110,102,1.357414538,103.6876668,3
126,134,103,1.357414538,103.6876668,7
124,142,55,1.357414538,103.6876668,3
116,131,74,1.357414538,103.6876668,3
101,123,69,1.357414538,103.6876668,3
67,80,47,1.357414538,103.6876668,1
112,141,70,1.357414538,103.6876668,3
108,109,95,1.357414538,103.7156668,3
159,139,111,1.357414538,103.7156668,4
98,97,84,1.377621807,103.6946668,3
109,104,98,1.377621807,103.6946668,3
165,153,151,1.377621807,103.6946668,6
127,129,102,1.377621807,103.6946668,7
149,142,127,1.377621807,103.6946668,8
110,115,115,1.377621807,103.6946668,7
141,149,132,1.377621807,103.6946668,8
106,109,102,1.377621807,103.6946668,3
128,143,146,1.377621807,103.6946668,2
157,156,146,1.377621807,103.6946668,6
118,119,107,1.385704714,103.6946668,7
193,194,183,1.385704714,103.6946668,5
131,144,149,1.397829075,103.6596667,2
129,132,121,1.41399489,103.7156668,8
113,117,102,1.41399489,103.7156668,3
139,136,103,1.41399489,103.7156668,4
124,127,128,1.41399489,103.7156668,8
102,117,63,1.41399489,103.7156668,3
152,159,166,1.41399489,103.7156668,6
165,166,155,1.41399489,103.7156668,6
100,101,87,1.41399489,103.7156668,3
113,120,93,1.41399489,103.7156668,3
142,165,136,1.41399489,103.7156668,6
119,112,108,1.418036344,103.7226668,7
123,145,162,1.426119252,103.7226668,2
122,132,107,1.426119252,103.7226668,7
129,132,121,1.426119252,103.7226668,8
181,135,120,1.426119252,103.7226668,4
118,119,119,1.426119252,103.7226668,7
76,76,70,1.426119252,103.7226668,1
108,120,92,1.426119252,103.7226668,3
127,125,116,1.426119252,103.7226668,7
128,132,140,1.426119252,103.7226668,8
149,151,151,1.426119252,103.7226668,6
123,145,162,1.430160706,103.7156668,2
122,132,107,1.430160706,103.7156668,7
129,132,121,1.430160706,103.7156668,8
181,135,120,1.430160706,103.7156668,4
118,119,119,1.430160706,103.7156668,7
76,76,70,1.430160706,103.7156668,1
108,120,92,1.430160706,103.7156668,3
127,125,116,1.430160706,103.7156668,7
128,132,140,1.430160706,103.7156668,8
149,151,151,1.430160706,103.7156668,6
123,145,162,1.434202159,103.7226668,2
122,132,107,1.434202159,103.7226668,7
129,132,121,1.434202159,103.7226668,8
181,135,120,1.434202159,103.7226668,4
118,119,119,1.434202159,103.7226668,7
76,76,70,1.434202159,103.7226668,1
108,120,92,1.434202159,103.7226668,3
127,125,116,1.434202159,103.7226668,7
128,132,140,1.434202159,103.7226668,8
149,151,151,1.434202159,103.7226668,6
88,90,85,1.438243613,103.7016668,1
108,105,102,1.438243613,103.7016668,3
84,87,77,1.438243613,103.7016668,1
128,133,119,1.438243613,103.7016668,8
108,111,118,1.438243613,103.7016668,7
