Lat,Lon,N.Blue,N.Cyan,N.Yellow,N.Red,N.Green,N.Magenta,N.Total
1.321041454,103.6806667,0,0.091,0.545,0.364,0,0,11
1.321041454,103.6946668,0.235,0,0.294,0.353,0.059,0.059,17
1.321041454,103.7086668,0.025,0.123,0.568,0.086,0.198,0,81
1.321041454,103.7226668,0.234,0.191,0.319,0.191,0.064,0,47
1.321041454,103.7366668,0.299,0.134,0.313,0.179,0.06,0.015,67
1.321041454,103.7506668,0.23,0.066,0.279,0.393,0.016,0.016,61
1.321041454,103.7646668,0.237,0.097,0.29,0.344,0.022,0.011,93
1.321041454,103.7786668,0.093,0.165,0.32,0.227,0.186,0.01,97
1.321041454,103.7926668,0.132,0.053,0.355,0.263,0.026,0.171,76
1.321041454,103.8066668,0.171,0.171,0.329,0.271,0.029,0.029,70
1.321041454,103.8206668,0.156,0.141,0.453,0.125,0.125,0,64
1.321041454,103.8346668,0.172,0.092,0.437,0.218,0.034,0.046,87
1.321041454,103.8486668,0.182,0.13,0.429,0.221,0.039,0,77
1.321041454,103.8626668,0.165,0.212,0.294,0.318,0.012,0,85
1.321041454,103.8766668,0.316,0.026,0.263,0.316,0.053,0.026,38
1.321041454,103.8906668,0.28,0.04,0.3,0.24,0.08,0.06,50
1.321041454,103.9046669,0.118,0.118,0.471,0.235,0,0.059,51
1.321041454,103.9186669,0.18,0.236,0.258,0.202,0.034,0.09,89
1.321041454,103.9326669,0.169,0.138,0.338,0.308,0.015,0.031,65
1.321041454,103.9466669,0.246,0.123,0.323,0.2,0.062,0.046,65
1.321041454,103.9606669,0.403,0.113,0.177,0.177,0.081,0.048,62
1.321041454,103.9746669,0.211,0.053,0.566,0.132,0,0.039,76
1.321041454,103.9886669,0.143,0.048,0.238,0.571,0,0,42
1.321041454,104.0166669,0.419,0.189,0.243,0.122,0.014,0.014,74
1.321041454,104.0306669,0.269,0.256,0.179,0.282,0.013,0,78
1.325082908,103.6316667,0,0,1,0,0,0,2
1.325082908,103.6456667,0.333,0.167,0.167,0.333,0,0,6
1.325082908,103.6596667,0.2,0.6,0.2,0,0,0,5
1.325082908,103.6736667,0.237,0.118,0.237,0.395,0,0.013,76
1.325082908,103.6876668,0,0,0.571,0.429,0,0,7
1.325082908,103.7016668,0.022,0.124,0.573,0.09,0.191,0,89
1.325082908,103.7156668,0.099,0.239,0.437,0.127,0.085,0.014,71
1.325082908,103.7296668,0.196,0.098,0.412,0.176,0.098,0.02,51
1.325082908,103.7436668,0.2,0.218,0.309,0.2,0.055,0.018,55
1.325082908,103.7576668,0.286,0.031,0.327,0.316,0.02,0.02,98
1.325082908,103.7716668,0.169,0.108,0.338,0.292,0.031,0.062,65
1.325082908,103.7856668,0.128,0.093,0.314,0.186,0.14,0.14,86
1.325082908,103.7996668,0.143,0.229,0.286,0.157,0.029,0.157,70
1.325082908,103.8136668,0.155,0.121,0.345,0.345,0.034,0,58
1.325082908,103.8276668,0.226,0.057,0.425,0.217,0.019,0.057,106
1.325082908,103.8416668,0.26,0.164,0.356,0.178,0.041,0,73
1.325082908,103.8556668,0.267,0.083,0.367,0.217,0,0.067,60
1.325082908,103.8696668,0.192,0.192,0.372,0.231,0,0.013,78
1.325082908,103.8836668,0.269,0.164,0.284,0.224,0.015,0.045,67
1.325082908,103.8976668,0.2,0.2,0.35,0.1,0.1,0.05,40
1.325082908,103.9116669,0.103,0.231,0.333,0.218,0.026,0.09,78
1.325082908,103.9256669,0.219,0.233,0.247,0.233,0.041,0.027,73
1.325082908,103.9396669,0.173,0.135,0.481,0.135,0.019,0.058,52
1.325082908,103.9536669,0.267,0.093,0.28,0.32,0.04,0,75
1.325082908,103.9676669,0.514,0.143,0.229,0.029,0.086,0,35
1.325082908,103.9816669,0.292,0.333,0.25,0.042,0.083,0,24
1.325082908,103.9956669,0.65,0.24,0,0.11,0,0,100
1.325082908,104.0096669,0.65,0.24,0,0.11,0,0,100
1.325082908,104.0236669,0.375,0.406,0.125,0.078,0.016,0,64
