R,G,B,Lat,Lon
0,0,0,1.248295286,103.6666667
127.4,134.2,137.6,1.248295286,103.6806667
0,0,0,1.248295286,103.6946668
0,0,0,1.248295286,103.8206668
0,0,0,1.248295286,103.8346668
0,0,0,1.248295286,103.8486668
0,0,0,1.25233674,103.6036667
0,0,0,1.25233674,103.6176667
0,0,0,1.25233674,103.6596667
127.4,134.2,137.6,1.25233674,103.6736667
0,0,0,1.25233674,103.6876668
0,0,0,1.25233674,103.7016668
0,0,0,1.25233674,103.7856668
0,0,0,1.25233674,103.8136668
0,0,0,1.25233674,103.8276668
0,0,0,1.25233674,103.8416668
0,0,0,1.256378193,103.6106667
0,0,0,1.256378193,103.6246667
0,0,0,1.256378193,103.6666667
0,0,0,1.256378193,103.6806667
0,0,0,1.256378193,103.6946668
0,0,0,1.256378193,103.7086668
0,0,0,1.256378193,103.7226668
0,0,0,1.256378193,103.7786668
0,0,0,1.256378193,103.8066668
0,0,0,1.256378193,103.8206668
0,0,0,1.256378193,103.8346668
0,0,0,1.256378193,103.8486668
0,0,0,1.260419647,103.6036667
0,0,0,1.260419647,103.6176667
0,0,0,1.260419647,103.6316667
0,0,0,1.260419647,103.6596667
0,0,0,1.260419647,103.6736667
0,0,0,1.260419647,103.6876668
0,0,0,1.260419647,103.7016668
0,0,0,1.260419647,103.7156668
0,0,0,1.260419647,103.7296668
0,0,0,1.260419647,103.7856668
0,0,0,1.260419647,103.8136668
0,0,0,1.260419647,103.8276668
0,0,0,1.260419647,103.8416668
0,0,0,1.260419647,103.8556668
0,0,0,1.264461101,103.6106667
0,0,0,1.264461101,103.6246667
0,0,0,1.264461101,103.6386667
0,0,0,1.264461101,103.6526667
0,0,0,1.264461101,103.6666667
0,0,0,1.264461101,103.6806667
0,0,0,1.264461101,103.6946668
0,0,0,1.264461101,103.7086668
0,0,0,1.264461101,103.7226668
0,0,0,1.264461101,103.7786668
0,0,0,1.264461101,103.7926668
0,0,0,1.264461101,103.8066668
0,0,0,1.264461101,103.8206668
0,0,0,1.264461101,103.8346668
0,0,0,1.264461101,103.8486668
0,0,0,1.264461101,103.8626668
0,0,0,1.268502555,103.6036667
0,0,0,1.268502555,103.6176667
0,0,0,1.268502555,103.6316667
0,0,0,1.268502555,103.6596667
0,0,0,1.268502555,103.6736667
0,0,0,1.268502555,103.6876668
0,0,0,1.268502555,103.7016668
0,0,0,1.268502555,103.7156668
0,0,0,1.268502555,103.7296668
0,0,0,1.268502555,103.7716668
0,0,0,1.268502555,103.7856668
0,0,0,1.268502555,103.7996668
0,0,0,1.268502555,103.8136668
0,0,0,1.268502555,103.8276668
0,0,0,1.268502555,103.8416668
0,0,0,1.268502555,103.8556668
0,0,0,1.272544009,103.6106667
0,0,0,1.272544009,103.6246667
0,0,0,1.272544009,103.6386667
0,0,0,1.272544009,103.6526667
0,0,0,1.272544009,103.6666667
120.2,120.1,119.6,1.272544009,103.6806667
0,0,0,1.272544009,103.6946668
0,0,0,1.272544009,103.7086668
0,0,0,1.272544009,103.7226668
0,0,0,1.272544009,103.7366668
0,0,0,1.272544009,103.7646668
0,0,0,1.272544009,103.7926668
0,0,0,1.272544009,103.8066668
0,0,0,1.272544009,103.8206668
0,0,0,1.272544009,103.8346668
0,0,0,1.272544009,103.8486668
0,0,0,1.272544009,103.8626668
