R,G,B,Lat,Lon
132.9010392623271,126.74241238020426,107.40974088754345,1.228088017,103.7436668
106.40836282925278,101.09509626862526,96.48175261716734,1.228088017,103.7576668
123.07072945119835,113.40719369955126,105.42649798630895,1.228088017,103.7716668
120.2261689059957,120.87980323174364,106.82999896052809,1.228088017,103.8416668
129.49244614804633,128.620647349289,116.58610749436495,1.228088017,103.8556668
128.87382413087934,134.14989775051126,115.77443762781186,1.232129471,103.6106667
131.50444720428095,109.95281997570129,92.32542587595599,1.232129471,103.6246667
103.01265806112067,116.54765901481937,133.79308922027454,1.232129471,103.6666667
82.15860517435321,119.5185601799775,134.22609673790777,1.232129471,103.6806667
137.0070013853653,154.18379057829495,167.18544090133472,1.232129471,103.7366668
0,0,0,1.232129471,103.7506668
137.1259575081834,143.98255356403718,139.52924266424282,1.232129471,103.7646668
122.28933484734574,99.35960033831687,87.3078229356732,1.232129471,103.7786668
136.52166772136457,127.39299607279814,110.06294700061774,1.232129471,103.8346668
127.6452026916168,127.03916390760432,117.28234410160832,1.232129471,103.8486668
120.51708420436002,127.45598657558509,98.33171176124301,1.232129471,103.8626668
0,0,0,1.236170925,103.6036667
131.50444720428095,109.95281997570129,92.32542587595599,1.236170925,103.6176667
133.2701900359791,131.87009817973666,141.32860915358214,1.236170925,103.6456667
82.15860517435321,119.5185601799775,134.22609673790777,1.236170925,103.6736667
60.578947368421055,62.98587933247754,77.8831835686778,1.236170925,103.6876668
141.08339270800036,157.06907267253024,166.37913835414454,1.236170925,103.7436668
155.59115884141463,142.87745232837256,112.54519654344696,1.236170925,103.7576668
130.8214183430922,120.94842018057054,106.91623007828636,1.236170925,103.7716668
130.8563063916886,122.07250258925906,110.25735105699756,1.236170925,103.8276668
135.0465202667685,112.07720361197097,104.14945176344462,1.236170925,103.8416668
130.89162768741278,124.33548425716651,108.6416257119429,1.236170925,103.8556668
0,0,0,1.240212378,103.6106667
0,0,0,1.240212378,103.6246667
132.1409091681248,139.4528674187862,152.01407836708054,1.240212378,103.6526667
89.21475843812046,98.4139642620781,109.48858371939113,1.240212378,103.6666667
60.578947368421055,62.98587933247754,77.8831835686778,1.240212378,103.6806667
